Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Reliquary Tower,tdc,Tarkir: Dragonstorm Commander,386,normal,uncommon,1,,6be3be55-7f9d-4a4c-b916-a1cb64f833c8,3.94,false,false,near_mint,en,USD
Retreat to Coralhelm,dsc,Duskmourn: House of Horror Commander,126,normal,uncommon,1,,cf8246c1-1db2-409f-9440-222d6dc78297,1.12,false,false,near_mint,en,USD
Sakura-Tribe Elder,dsc,Duskmourn: House of Horror Commander,194,normal,common,1,,7a0dd468-9317-42bd-946d-ef96805fc6a4,0.30,false,false,near_mint,en,USD
Sandwurm Convergence,dsc,Duskmourn: House of Horror Commander,195,normal,rare,1,,3ad9cb61-4072-449b-9b32-83e2192cb292,0.31,false,false,near_mint,en,USD
Scute Swarm,dsc,Duskmourn: House of Horror Commander,197,normal,rare,1,,ea630ba1-22f9-4a10-bdc6-0d03128214f4,5.48,false,false,near_mint,en,USD
Secret Plans,c19,Commander 2019,201,normal,uncommon,1,,b223d673-79da-4e2e-84a4-db917fbbd7dd,0.17,false,false,near_mint,en,USD
Shriekwood Devourer,dsc,Duskmourn: House of Horror Commander,35,normal,rare,1,,bd73c214-f6b6-49e9-b6e8-af6b1f1fb0f0,0.34,false,false,near_mint,en,USD
Simic Growth Chamber,dsc,Duskmourn: House of Horror Commander,298,normal,uncommon,1,,212d97c5-c144-483b-b42e-00623477e928,0.35,false,false,near_mint,en,USD
Simic Signet,dsc,Duskmourn: House of Horror Commander,252,normal,uncommon,1,,bf222c78-f12e-4857-93da-fade99c740b8,0.33,false,false,near_mint,en,USD
Skaab Ruinator,dsc,Duskmourn: House of Horror Commander,128,normal,mythic,1,,668d4e90-61d3-4064-b867-6ac7a49a7d59,0.34,false,false,near_mint,en,USD
Skyserpent Seeker,dft,Aetherdrift,224,normal,uncommon,1,,8dbd9fc0-c0df-4119-a0d3-2e1790998c21,0.28,false,false,near_mint,en,USD
Sol Ring,dsc,Duskmourn: House of Horror Commander,94,normal,uncommon,1,,82f1a8a3-7fdb-49a3-9649-b5c0b4755cd5,1.71,false,false,near_mint,en,USD
Tangled Islet,dsc,Duskmourn: House of Horror Commander,306,normal,common,1,,7b994b5a-4b67-49b6-859d-ae706fc465ca,0.21,false,false,near_mint,en,USD
"Tatyova, Benthic Druid",fdn,Foundations,247,normal,uncommon,1,,eabc978a-0666-472d-bdc6-d4b29d29eca4,0.30,false,false,near_mint,en,USD
Temple of Mystery,tdc,Tarkir: Dragonstorm Commander,404,normal,rare,1,,af2de306-8a58-43fe-a0fe-dc8a545b8630,0.25,false,false,near_mint,en,USD
Temple of the False God,dsc,Duskmourn: House of Horror Commander,313,normal,uncommon,1,,23d62c88-3a7a-4eef-8ec4-ff1243e6ce93,0.31,false,false,near_mint,en,USD
Temur War Shaman,dsc,Duskmourn: House of Horror Commander,200,normal,rare,1,,24824ccd-d470-49eb-a07d-2fc0de817766,0.12,false,false,near_mint,en,USD
They Came from the Pipes,dsc,Duskmourn: House of Horror Commander,14,normal,rare,1,,74c900b3-6db0-4bd9-afd2-d193e4aca09c,0.31,false,false,near_mint,en,USD
Thornwood Falls,dsc,Duskmourn: House of Horror Commander,314,normal,common,1,,acdd77d6-0c6e-4aa7-8d2e-f5203df5c7f3,0.15,false,false,near_mint,en,USD
Thunderfoot Baloth,dsc,Duskmourn: House of Horror Commander,201,normal,rare,1,,80c1b1ea-2459-4986-8846-4db916d6b771,0.40,false,false,near_mint,en,USD
Time Stop,fdn,Foundations,166,normal,rare,1,,d938603b-0f1e-44c4-b86e-38e15f4a0d27,0.25,false,false,near_mint,en,USD
Trail of Mystery,dsc,Duskmourn: House of Horror Commander,203,normal,rare,1,,56271ec9-5e41-47d3-ac76-d0743fb399cc,0.21,false,false,near_mint,en,USD
Treetop Snarespinner,fdn,Foundations,114,normal,common,1,,88e68fa3-159d-49a6-8ac6-afc9bd6f1718,0.06,false,false,near_mint,en,USD
Trygon Predator,fdn,Foundations,667,normal,uncommon,1,,cdb88a22-8086-4bf7-89e8-cce929440dd8,0.13,false,false,near_mint,en,USD
Valgavoth's Onslaught,dsk,Duskmourn: House of Horror,204,normal,rare,1,,7d4ba274-3c6f-4e12-ba2c-a81c3da3f7e2,0.24,false,false,near_mint,en,USD
Vineglimmer Snarl,drc,Aetherdrift Commander,183,normal,rare,1,,4b1003ca-809c-4e91-8368-e6b8fa870f23,0.26,false,false,near_mint,en,USD
Whisperwood Elemental,dsc,Duskmourn: House of Horror Commander,204,normal,mythic,1,,f522f32d-e510-4128-98ae-d3c0f684b899,0.24,false,false,near_mint,en,USD
Wilderness Reclamation,dsc,Duskmourn: House of Horror Commander,205,normal,uncommon,1,,5e6c0cb4-f17d-48ae-9bbf-9498505a23b0,0.68,false,false,near_mint,en,USD
Worldspine Wurm,dsc,Duskmourn: House of Horror Commander,206,normal,mythic,1,,edb684f3-7787-4e54-96a2-61f95b6494a8,1.11,false,false,near_mint,en,USD
Yavimaya Coast,tdc,Tarkir: Dragonstorm Commander,413,normal,rare,1,,9f98bf0c-74cf-49da-8b60-b2d3ac294a82,0.34,false,false,near_mint,en,USD
Zimone's Hypothesis,dsc,Duskmourn: House of Horror Commander,15,normal,rare,1,,ada2b522-219a-44be-98c1-83a02efdd709,0.30,false,false,near_mint,en,USD
"Zimone, All-Questioning",dsk,Duskmourn: House of Horror,241,normal,rare,1,,7722f4f7-fe38-4107-a715-7b27b6a4e341,0.20,false,false,near_mint,en,USD
